date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:46	6514/6514	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:23%20GMT	http://boltcloud.co.in/a12rf3078p/PrintReport.aspx?Mode=StudentLedger&StudentId=15&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/PrintReportb5b4.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:46	171/171	---M--	200	added ('OK')	image/png	etag:%22030796e8a6ce1:0%22	http://boltcloud.co.in/a12rf3078p/Images/ledger_icon.png	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/Images/ledger_icon.png	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:46	5353/5353	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Nov%202019%2016:57:23%20GMT	http://boltcloud.co.in/a12rf3078p/StudentDetails.aspx?SId=16	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentDetails.288633.delayed	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:46	22917/22917	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:23%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx?StudentId=16	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDeposit87ca.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:47	6535/6535	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:25%20GMT	http://boltcloud.co.in/a12rf3078p/PrintReport.aspx?Mode=StudentLedger&StudentId=16&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/PrintReport81c8.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:47	5353/5353	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Nov%202019%2016:57:25%20GMT	http://boltcloud.co.in/a12rf3078p/StudentDetails.aspx?SId=13	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentDetails.2b2786.delayed	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:48	22910/22910	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:25%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx?StudentId=13	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDeposit3d1e.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:48	6570/6570	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:26%20GMT	http://boltcloud.co.in/a12rf3078p/PrintReport.aspx?Mode=StudentLedger&StudentId=13&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/PrintReport3f1b.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:48	5353/5353	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Nov%202019%2016:57:26%20GMT	http://boltcloud.co.in/a12rf3078p/StudentDetails.aspx?SId=14	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentDetails.2e05e0.delayed	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:49	22928/22928	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:26%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx?StudentId=14	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDeposit5bf6.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:49	6551/6551	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:27%20GMT	http://boltcloud.co.in/a12rf3078p/PrintReport.aspx?Mode=StudentLedger&StudentId=14&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/PrintReporta4e6.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:51	21539/21539	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:27%20GMT	http://boltcloud.co.in/a12rf3078p/StudentDetails.aspx?SId=12	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/StudentDetails26d3.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:52	22910/22910	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:29%20GMT	http://boltcloud.co.in/a12rf3078p/FeeDeposit.aspx?StudentId=12	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/FeeDeposit410e.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:52	6556/6556	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202019%2016:57:29%20GMT	http://boltcloud.co.in/a12rf3078p/PrintReport.aspx?Mode=StudentLedger&StudentId=12&Name=Student%20Ledger	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/PrintReport21ad.html	(from http://boltcloud.co.in/a12rf3078p/StudentMaster.aspx)
22:27:53	4312/4312	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Apr%202013%2017:41:38%20GMT	http://boltcloud.co.in/a12rf3078p/WebResource.axd?d=Bg2XZn7OvlMlpyy0usIw6qhpNtqiCSXczPaZrsXbPyMI-ft8lJBPuQenIzKg1ZiycdFvoD84klgPR8zGvFTqJkECjRp7t6tC4pTAv36RR4X4ZeuqdQSCG7Zs4NJ031ujO1touQ2&t=635028738980000000	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/WebResource2363.css	(from http://boltcloud.co.in/a12rf3078p/GenericReport.aspx)
22:27:53	130353/130353	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2021%20Sep%202013%2013:21:06%20GMT	http://boltcloud.co.in/a12rf3078p/GenericReport.aspx?_TSM_HiddenField_=ScriptManager1_HiddenField&_TSM_CombinedScripts_=%3b%3bAjaxControlToolkit%2c+Version%3d3.5.7.429%2c+Culture%3dneutral%2c+PublicKeyToken%3d28f01b0e84b6d53e%3aen%3a776e8b41-f645-445e-b0a0-73e096383cec%3a475a4ef5%3aaddc6819%3a5546a2b%3ad2e10b12%3aeffe2a26%3a37e2e5c9%3a5a682656%3ac7029a2%3ae9e598a9	C:/Users/Shaan/Desktop/post/school/boltcloud.co.in/a12rf3078p/GenericReport1a91.js	(from http://boltcloud.co.in/a12rf3078p/GenericReport.aspx)
